name                             component                               version
2a48a7f283d807efb69d385ce1fba97d opensearch-neural-search                x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-notifications                x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-notifications-core           x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-observability                x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-reports-scheduler            x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-search-relevance             x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-security                     x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-security-analytics           x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-skills                       x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-sql                          x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-system-templates             x.x.x.x
2a48a7f283d807efb69d385ce1fba97d performance-analyzer                    x.x.x.x
2a48a7f283d807efb69d385ce1fba97d query-insights                          x.x.x.x
2a48a7f283d807efb69d385ce1fba97d repository-s3                           3.3.0
2a48a7f283d807efb69d385ce1fba97d sifi-remediation-plugin                 x.x.x.x
2a48a7f283d807efb69d385ce1fba97d telemetry-otel                          3.3.0
2a48a7f283d807efb69d385ce1fba97d workload-management                     3.3.0
